wage,exper,female,tenure3,educ
8.3,6,0,0,16
2.9,26,1,0,12
6.3,21,0,1,12
4.6,34,0,0,16
3.3,17,1,0,12
2.3,2,1,0,10
3.3,5,1,0,13
3.2,1,1,0,13
13,40,0,1,14
5.2,39,1,1,16
3.1,1,0,0,10
7.3,14,0,1,12
2.9,2,1,0,12
1.8,2,0,0,11
2.9,42,1,0,0
2.9,34,1,0,5
18,10,0,1,16
6.3,4,0,1,16
2.6,4,0,0,9
6.6,21,1,1,15
3.5,31,1,1,12
6.5,20,0,1,12
3,36,1,0,12
4.4,7,0,0,13
10,15,0,0,12
4.9,25,0,1,7
9,7,1,0,17
1.4,17,1,0,12
3.1,3,0,0,12
9.3,12,0,1,14
7.5,18,0,1,12
4.8,47,0,0,13
5.7,2,0,0,12
15,14,1,0,16
2.3,2,1,0,10
4.7,13,0,1,15
12,5,0,0,16
3.5,5,1,1,14
